Date,Open,High,Low,Close,AdjClose,Volume
2018/01/04 0:00:00,2199,2340,1987,2089,2089,1930600
2018/02/01 0:00:00,2089,2094,1690,1924,1924,796900
2018/03/01 0:00:00,1904,1919,1600,1622,1622,658200
2018/04/02 0:00:00,1627,1642,1480,1590,1590,1002000
2018/05/01 0:00:00,1599,1686,1487,1494,1494,646300
2018/06/01 0:00:00,1494,1579,1252,1360,1360,783000
2018/07/02 0:00:00,1360,1724,1227,1368,1368,3672800
2018/08/01 0:00:00,1378,1378,1199,1296,1296,819300
2018/09/03 0:00:00,1296,1608,1204,1511,1511,1133800
2018/10/01 0:00:00,1506,1613,1220,1489,1489,1090100
2018/11/01 0:00:00,1497,1576,1376,1565,1565,535300
2018/12/03 0:00:00,1575,1697,1215,1420,1420,1543300
2019/01/04 0:00:00,1369,1539,1358,1407,1407,847400
2019/02/01 0:00:00,1406,1409,1300,1344,1344,309700
2019/03/01 0:00:00,1355,1440,1261,1424,1424,452800
2019/04/01 0:00:00,1428,1455,1305,1338,1338,210400
2019/05/07 0:00:00,1335,1370,1234,1252,1252,173800
2019/06/03 0:00:00,1241,1419,1212,1291,1291,331600
2019/07/01 0:00:00,1301,1407,1262,1330,1330,388100
2019/08/01 0:00:00,1318,1341,1205,1274,1274,330800
2019/09/02 0:00:00,1280,1344,1198,1229,1229,408300
2019/10/01 0:00:00,1238,1271,1202,1233,1233,256400
2019/11/01 0:00:00,1232,1286,1221,1266,1266,231400
2019/12/02 0:00:00,1277,1325,1210,1271,1271,817600
2020/01/06 0:00:00,1273,1297,1186,1191,1191,1021300
2020/02/03 0:00:00,1169,1192,900,905,905,567500
2020/03/02 0:00:00,897,974,583,911,911,1499800
2020/04/01 0:00:00,896,1072,856,1017,1017,498300
2020/05/01 0:00:00,1010,1037,952,1019,1019,290900
2020/06/01 0:00:00,1028,1234,963,1003,1003,1016300
2020/07/01 0:00:00,1007,1040,946,953,953,409400
2020/08/03 0:00:00,953,1020,926,969,969,332700
2020/09/01 0:00:00,969,1316,959,1279,1279,1483800
2020/10/02 0:00:00,1279,1699,1233,1346,1346,1830200
2020/11/02 0:00:00,1364,1645,1315,1533,1533,670300
2020/12/01 0:00:00,1569,1866,1440,1855,1855,1191600
2021/01/04 0:00:00,1835,2020,1659,1668,1668,1917700
2021/02/01 0:00:00,1650,1820,1601,1757,1757,740900
2021/03/01 0:00:00,1757,1882,1611,1668,1668,1306900
2021/04/01 0:00:00,1668,1807,1607,1612,1612,811000
2021/05/06 0:00:00,1631,1666,1491,1580,1580,422700
2021/06/01 0:00:00,1589,1730,1552,1652,1652,1234800
2021/07/01 0:00:00,1647,1647,1383,1390,1390,798300
2021/08/02 0:00:00,1402,1477,1356,1464,1464,513800
2021/09/01 0:00:00,1477,1636,1435,1551,1551,2168500
2021/10/01 0:00:00,1540,1580,1389,1480,1480,807700
2021/11/01 0:00:00,1495,1495,1273,1276,1276,489000
2021/12/01 0:00:00,1261,1353,1217,1321,1321,867400
2022/01/04 0:00:00,1339,1373,1265,1269,1269,1491300
2022/02/01 0:00:00,1281,1399,1135,1248,1248,1080100
2022/03/01 0:00:00,1249,1285,1102,1206,1206,783600
2022/04/01 0:00:00,1202,1228,1138,1153,1153,450800
2022/05/02 0:00:00,1141,1224,1141,1220,1220,316700
2022/06/01 0:00:00,1220,1238,1074,1158,1158,528000
2022/07/01 0:00:00,1157,1282,1102,1186,1186,2542400
2022/08/01 0:00:00,1188,1248,1115,1127,1127,1491300
2022/09/01 0:00:00,1127,1136,930,935,935,1189000
2022/10/03 0:00:00,923,956,833,952,952,1243600
2022/11/01 0:00:00,956,1056,939,991,991,750300
2022/12/01 0:00:00,1000,1010,870,923,923,1131500
