Date,Open,High,Low,Close,AdjClose,Volume
2021/12/29 0:00:00,5200,5260,5180,5240,5240,101500
2021/12/30 0:00:00,5200,5220,5170,5170,5170,53800
2022/01/04 0:00:00,5230,5230,5170,5200,5200,96000
2022/01/05 0:00:00,5190,5190,5110,5130,5130,101600
2022/01/06 0:00:00,5080,5090,5020,5040,5040,80700
2022/01/07 0:00:00,5040,5100,5020,5040,5040,70700
2022/01/11 0:00:00,5040,5040,4980,4990,4990,86000
2022/01/12 0:00:00,5040,5100,5030,5070,5070,102500
2022/01/13 0:00:00,5060,5090,5020,5020,5020,92400
2022/01/14 0:00:00,4930,4970,4900,4920,4920,230800
2022/01/17 0:00:00,4970,5010,4965,4975,4975,115500
2022/01/18 0:00:00,5020,5020,4915,4930,4930,146100
2022/01/19 0:00:00,4865,4915,4800,4835,4835,292700
2022/01/20 0:00:00,4835,4990,4835,4940,4940,264900
2022/01/21 0:00:00,4900,5040,4895,5040,5040,143200
2022/01/24 0:00:00,5040,5150,5020,5110,5110,203600
2022/01/25 0:00:00,5110,5110,5020,5070,5070,168200
2022/01/26 0:00:00,5020,5070,5010,5050,5050,112000
2022/01/27 0:00:00,5080,5090,4920,4960,4960,121900
2022/01/28 0:00:00,5000,5060,4990,5010,5010,104300
2022/01/31 0:00:00,5010,5040,4955,5010,5010,82200
2022/02/01 0:00:00,5080,5090,5020,5040,5040,114400
2022/02/02 0:00:00,5020,5080,5010,5070,5070,76100
2022/02/03 0:00:00,5030,5060,5020,5040,5040,69200
2022/02/04 0:00:00,5040,5080,5000,5050,5050,124900
2022/02/07 0:00:00,5010,5060,5010,5050,5050,80400
2022/02/08 0:00:00,5050,5100,5040,5050,5050,92800
2022/02/09 0:00:00,5050,5110,5040,5090,5090,102500
2022/02/10 0:00:00,5170,5190,5100,5120,5120,115000
2022/02/14 0:00:00,5000,5120,4985,5110,5110,155900
2022/02/15 0:00:00,5110,5140,5070,5140,5140,130000
2022/02/16 0:00:00,5140,5200,5130,5190,5190,105100
2022/02/17 0:00:00,5250,5320,5230,5260,5260,202100
2022/02/18 0:00:00,5170,5220,5150,5190,5190,138500
2022/02/21 0:00:00,5130,5240,5100,5230,5230,125000
2022/02/22 0:00:00,5180,5230,5170,5210,5210,101500
2022/02/24 0:00:00,5130,5170,5090,5120,5120,148000
2022/02/25 0:00:00,5110,5110,5040,5090,5090,172300
2022/02/28 0:00:00,5060,5130,5030,5130,5130,166200
2022/03/01 0:00:00,5160,5210,5150,5190,5190,136500
2022/03/02 0:00:00,5140,5190,5130,5150,5150,99800
2022/03/03 0:00:00,5150,5250,5150,5230,5230,131500
2022/03/04 0:00:00,5220,5220,5110,5130,5130,128800
2022/03/07 0:00:00,5080,5140,5050,5130,5130,121900
2022/03/08 0:00:00,5070,5140,5060,5070,5070,161800
2022/03/09 0:00:00,5070,5150,5070,5100,5100,132000
2022/03/10 0:00:00,5170,5290,5150,5290,5290,172700
2022/03/11 0:00:00,5250,5280,5230,5260,5260,134300
2022/03/14 0:00:00,5280,5300,5200,5220,5220,161100
2022/03/15 0:00:00,5220,5330,5210,5270,5270,172500
2022/03/16 0:00:00,5320,5350,5290,5320,5320,161500
2022/03/17 0:00:00,5420,5450,5370,5400,5400,196100
2022/03/18 0:00:00,5410,5410,5350,5380,5380,196400
2022/03/22 0:00:00,5380,5410,5340,5350,5350,161400
2022/03/23 0:00:00,5380,5440,5360,5420,5420,150300
2022/03/24 0:00:00,5400,5430,5350,5380,5380,109900
2022/03/25 0:00:00,5400,5510,5390,5490,5490,153400
2022/03/28 0:00:00,5500,5500,5440,5450,5450,86600
2022/03/29 0:00:00,5460,5470,5420,5460,5460,125900
2022/03/30 0:00:00,5500,5520,5410,5470,5470,141500
2022/03/31 0:00:00,5460,5460,5320,5330,5330,138200
2022/04/01 0:00:00,5270,5310,5240,5290,5290,131700
2022/04/04 0:00:00,5240,5320,5240,5290,5290,139700
2022/04/05 0:00:00,5340,5380,5320,5350,5350,171200
2022/04/06 0:00:00,5300,5350,5290,5310,5310,123800
