Date,Unsold,Leftover,UnsoldChange,LeftoverChange,CreditRatio
2021/12/31 0:00:00,42900,45800,-26400,3500,1.07
2022/01/07 0:00:00,41000,43900,-1900,-1900,1.07
2022/01/14 0:00:00,112600,46300,71600,2400,0.41
2022/01/21 0:00:00,98800,57200,-13800,10900,0.58
2022/01/28 0:00:00,48100,49100,-50700,-8100,1.02
2022/02/04 0:00:00,47800,51500,-300,2400,1.08
2022/02/11 0:00:00,40700,54000,-7100,2500,1.33
2022/02/18 0:00:00,46700,56900,6000,2900,1.22
2022/02/25 0:00:00,48700,54700,2000,-2200,1.12
2022/03/04 0:00:00,45800,50900,-2900,-3800,1.11
2022/03/11 0:00:00,46700,47600,900,-3300,1.02
2022/03/18 0:00:00,46600,53500,-100,5900,1.15
2022/03/25 0:00:00,46200,47300,-400,-6200,1.02
2022/04/01 0:00:00,59700,59400,13500,12100,0.99
2022/04/08 0:00:00,59800,61900,100,2500,1.04
2022/04/15 0:00:00,55000,54000,-4800,-7900,0.98
2022/04/22 0:00:00,55100,48000,100,-6000,0.87
2022/04/29 0:00:00,56000,43700,900,-4300,0.78
2022/05/13 0:00:00,55800,44500,-200,800,0.8
2022/05/20 0:00:00,55000,48900,-800,4400,0.89
2022/05/27 0:00:00,39600,51100,-15400,2200,1.29
2022/06/03 0:00:00,45400,55300,5800,4200,1.22
2022/06/10 0:00:00,49400,61800,4000,6500,1.25
2022/06/17 0:00:00,68700,40800,19300,-21000,0.59
2022/06/24 0:00:00,72800,42900,4100,2100,0.59
2022/07/01 0:00:00,73200,59100,400,16200,0.81
2022/07/08 0:00:00,70500,60900,-2700,1800,0.86
2022/07/15 0:00:00,66000,70400,-4500,9500,1.07
2022/07/22 0:00:00,65600,72800,-400,2400,1.11
2022/07/29 0:00:00,66300,59200,700,-13600,0.89
2022/08/05 0:00:00,59000,60700,-7300,1500,1.03
2022/08/12 0:00:00,67900,63600,8900,2900,0.94
2022/08/19 0:00:00,68500,47700,600,-15900,0.7
2022/08/26 0:00:00,59500,54800,-9000,7100,0.92
2022/09/02 0:00:00,47200,61800,-12300,7000,1.31
2022/09/09 0:00:00,55200,70900,8000,9100,1.28
2022/09/16 0:00:00,44500,52000,-10700,-18900,1.17
2022/09/23 0:00:00,44900,47900,400,-4100,1.07
2022/09/30 0:00:00,50300,46400,5400,-1500,0.92
2022/10/07 0:00:00,59700,43200,9400,-3200,0.72
2022/10/14 0:00:00,59100,41500,-600,-1700,0.7
2022/10/21 0:00:00,51700,46300,-7400,4800,0.9
2022/10/28 0:00:00,47500,45000,-4200,-1300,0.95
2022/11/04 0:00:00,50400,51600,2900,6600,1.02
2022/11/11 0:00:00,53200,77000,2800,25400,1.45
2022/11/18 0:00:00,22700,88800,-30500,11800,3.91
2022/11/25 0:00:00,16500,74800,-6200,-14000,4.53
2022/12/02 0:00:00,16500,110600,0,35800,6.7
2022/12/09 0:00:00,14600,126000,-1900,15400,8.63
2022/12/16 0:00:00,16800,122700,2200,-3300,7.3
2022/12/23 0:00:00,14200,113900,-2600,-8800,8.02
